,pokedex_number,image_url,name,types,abilities,base_stats
0,#0001,/pokedex-sv/icon/new/001.png,Bulbasaur,"['grass', 'poison']","Overgrow, Chlorophyll","['45', '49', '49', '65', '65', '45']"
1,#0002,/pokedex-sv/icon/new/002.png,Ivysaur,"['grass', 'poison']","Overgrow, Chlorophyll","['60', '62', '63', '80', '80', '60']"
2,#0003,/pokedex-sv/icon/new/003.png,Venusaur,"['grass', 'poison']","Overgrow, Chlorophyll","['80', '82', '83', '100', '100', '80']"
3,#0004,/pokedex-sv/icon/new/004.png,Charmander,['fire'],"Blaze, Solar Power","['39', '52', '43', '60', '50', '65']"
4,#0005,/pokedex-sv/icon/new/005.png,Charmeleon,['fire'],"Blaze, Solar Power","['58', '64', '58', '80', '65', '80']"
5,#0006,/pokedex-sv/icon/new/006.png,Charizard,"['fire', 'flying']","Blaze, Solar Power","['78', '84', '78', '109', '85', '100']"
6,#0007,/pokedex-sv/icon/new/007.png,Squirtle,['water'],"Torrent, Rain Dish","['44', '48', '65', '50', '64', '43']"
7,#0008,/pokedex-sv/icon/new/008.png,Wartortle,['water'],"Torrent, Rain Dish","['59', '63', '80', '65', '80', '58']"
8,#0009,/pokedex-sv/icon/new/009.png,Blastoise,['water'],"Torrent, Rain Dish","['79', '83', '100', '85', '105', '78']"
9,#0010,/pokedex-sv/icon/new/010.png,Caterpie,['bug'],"Shield Dust, Run Away","['45', '30', '35', '20', '20', '45']"
10,#0011,/pokedex-sv/icon/new/011.png,Metapod,['bug'],Shed Skin,"['50', '20', '55', '25', '25', '30']"
11,#0012,/pokedex-sv/icon/new/012.png,Butterfree,"['bug', 'flying']","Compoundeyes, Tinted Lens","['60', '45', '50', '90', '80', '70']"
12,#0013,/pokedex-sv/icon/new/013.png,Weedle,"['bug', 'poison']","Shield Dust, Run Away","['40', '35', '30', '20', '20', '50']"
13,#0014,/pokedex-sv/icon/new/014.png,Kakuna,"['bug', 'poison']",Shed Skin,"['45', '25', '50', '25', '25', '35']"
14,#0015,/pokedex-sv/icon/new/015.png,Beedrill,"['bug', 'poison']","Swarm, Sniper","['65', '90', '40', '45', '80', '75']"
15,#0016,/pokedex-sv/icon/new/016.png,Pidgey,"['normal', 'flying']","Keen Eye, Tangled Feet, Big Pecks","['40', '45', '40', '35', '35', '56']"
16,#0017,/pokedex-sv/icon/new/017.png,Pidgeotto,"['normal', 'flying']","Keen Eye, Tangled Feet, Big Pecks","['63', '60', '55', '50', '50', '71']"
17,#0018,/pokedex-sv/icon/new/018.png,Pidgeot,"['normal', 'flying']","Keen Eye, Tangled Feet, Big Pecks","['83', '80', '75', '70', '70', '101']"
18,#0019,/pokedex-sv/icon/new/019.png,Rattata,['normal'],"Run Away, Guts, Hustle","['30', '56', '35', '25', '35', '72']"
19,#0020,/pokedex-sv/icon/new/020.png,Raticate,['normal'],"Run Away, Guts, Hustle","['55', '81', '60', '50', '70', '97']"
20,#0021,/pokedex-sv/icon/new/021.png,Spearow,"['normal', 'flying']","Keen Eye, Sniper","['40', '60', '30', '31', '31', '70']"
21,#0022,/pokedex-sv/icon/new/022.png,Fearow,"['normal', 'flying']","Keen Eye, Sniper","['65', '90', '65', '61', '61', '100']"
22,#0023,/pokedex-sv/icon/new/023.png,Ekans,['poison'],"Intimidate, Shed Skin, Unnerve","['35', '60', '44', '40', '54', '55']"
23,#0024,/pokedex-sv/icon/new/024.png,Arbok,['poison'],"Intimidate, Shed Skin, Unnerve","['60', '95', '69', '65', '79', '80']"
24,#0025,/pokedex-sv/icon/new/025.png,Pikachu,['electric'],"Static, Lightning Rod","['35', '55', '40', '50', '50', '90']"
25,#0026,/pokedex-sv/icon/new/026.png,Raichu,['electric'],"Static, Lightning Rod","['60', '90', '55', '90', '80', '110']"
26,#0027,/pokedex-sv/icon/new/027.png,Sandshrew,['ground'],"Sand Veil, Sand Rush","['50', '75', '85', '20', '30', '40']"
27,#0028,/pokedex-sv/icon/new/028.png,Sandslash,['ground'],"Sand Veil, Sand Rush","['75', '100', '110', '45', '55', '65']"
28,#0029,/pokedex-sv/icon/new/029.png,Nidoran♀,['poison'],"Poison Point, Rivalry, Hustle","['55', '47', '52', '40', '40', '41']"
29,#0030,/pokedex-sv/icon/new/030.png,Nidorina,['poison'],"Poison Point, Rivalry, Hustle","['70', '62', '67', '55', '55', '56']"
30,#0031,/pokedex-sv/icon/new/031.png,Nidoqueen,"['poison', 'ground']","Poison Point, Rivalry, Sheer Force","['90', '92', '87', '75', '85', '76']"
31,#0032,/pokedex-sv/icon/new/032.png,Nidoran♂,['poison'],"Poison Point, Rivalry, Hustle","['46', '57', '40', '40', '40', '50']"
32,#0033,/pokedex-sv/icon/new/033.png,Nidorino,['poison'],"Poison Point, Rivalry, Hustle","['61', '72', '57', '55', '55', '65']"
33,#0034,/pokedex-sv/icon/new/034.png,Nidoking,"['poison', 'ground']","Poison Point, Rivalry, Sheer Force","['81', '102', '77', '85', '75', '85']"
34,#0035,/pokedex-sv/icon/new/035.png,Clefairy,['fairy'],"Cute Charm, Magic Guard, Friend Guard","['70', '45', '48', '60', '65', '35']"
35,#0036,/pokedex-sv/icon/new/036.png,Clefable,['fairy'],"Cute Charm, Magic Guard, Unaware","['95', '70', '73', '95', '90', '60']"
36,#0037,/pokedex-sv/icon/new/037.png,Vulpix,['fire'],"Flash Fire, Drought","['38', '41', '40', '50', '65', '65']"
37,#0038,/pokedex-sv/icon/new/038.png,Ninetales,['fire'],"Flash Fire, Drought","['73', '76', '75', '81', '100', '100']"
38,#0039,/pokedex-sv/icon/new/039.png,Jigglypuff,"['normal', 'fairy']","Cute Charm, Competitive, Friend Guard","['115', '45', '20', '45', '25', '20']"
39,#0040,/pokedex-sv/icon/new/040.png,Wigglytuff,"['normal', 'fairy']","Cute Charm, Competitive, Frisk","['140', '70', '45', '85', '50', '45']"
40,#0041,/pokedex-sv/icon/new/041.png,Zubat,"['poison', 'flying']","Inner Focus, Infiltrator","['40', '45', '35', '30', '40', '55']"
41,#0042,/pokedex-sv/icon/new/042.png,Golbat,"['poison', 'flying']","Inner Focus, Infiltrator","['75', '80', '70', '65', '75', '90']"
42,#0043,/pokedex-sv/icon/new/043.png,Oddish,"['grass', 'poison']","Chlorophyll, Run Away","['45', '50', '55', '75', '65', '30']"
43,#0044,/pokedex-sv/icon/new/044.png,Gloom,"['grass', 'poison']","Chlorophyll, Stench","['60', '65', '70', '85', '75', '40']"
44,#0045,/pokedex-sv/icon/new/045.png,Vileplume,"['grass', 'poison']","Chlorophyll, Effect Spore","['75', '80', '85', '110', '90', '50']"
45,#0046,/pokedex-sv/icon/new/046.png,Paras,"['bug', 'grass']","Effect Spore, Dry Skin, Damp","['35', '70', '55', '45', '55', '25']"
46,#0047,/pokedex-sv/icon/new/047.png,Parasect,"['bug', 'grass']","Effect Spore, Dry Skin, Damp","['60', '95', '80', '60', '80', '30']"
47,#0048,/pokedex-sv/icon/new/048.png,Venonat,"['bug', 'poison']","Compoundeyes, Tinted Lens, Run Away","['60', '55', '50', '40', '55', '45']"
48,#0049,/pokedex-sv/icon/new/049.png,Venomoth,"['bug', 'poison']","Shield Dust, Tinted Lens, Wonder Skin","['70', '65', '60', '90', '75', '90']"
49,#0050,/pokedex-sv/icon/new/050.png,Diglett,['ground'],"Sand Veil, Arena Trap, Sand Force","['10', '55', '25', '35', '45', '95']"
50,#0051,/pokedex-sv/icon/new/051.png,Dugtrio,['ground'],"Sand Veil, Arena Trap, Sand Force","['35', '100', '50', '50', '70', '120']"
51,#0052,/pokedex-sv/icon/new/052.png,Meowth,['normal'],"Pickup, Technician, Unnerve","['40', '45', '35', '40', '40', '90']"
52,#0053,/pokedex-sv/icon/new/053.png,Persian,['normal'],"Limber, Technician, Unnerve","['65', '70', '60', '65', '65', '115']"
53,#0054,/pokedex-sv/icon/new/054.png,Psyduck,['water'],"Damp, Cloud Nine, Swift Swim","['50', '52', '48', '65', '50', '55']"
54,#0055,/pokedex-sv/icon/new/055.png,Golduck,['water'],"Damp, Cloud Nine, Swift Swim","['80', '82', '78', '95', '80', '85']"
55,#0056,/pokedex-sv/icon/new/056.png,Mankey,['fighting'],"Vital Spirit, Anger Point, Defiant","['40', '80', '35', '35', '45', '70']"
56,#0057,/pokedex-sv/icon/new/057.png,Primeape,['fighting'],"Vital Spirit, Anger Point, Defiant","['65', '105', '60', '60', '70', '95']"
57,#0058,/pokedex-sv/icon/new/058.png,Growlithe,['fire'],"Intimidate, Flash Fire, Justified","['55', '70', '45', '70', '50', '60']"
58,#0059,/pokedex-sv/icon/new/059.png,Arcanine,['fire'],"Intimidate, Flash Fire, Justified","['90', '110', '80', '100', '80', '95']"
59,#0060,/pokedex-sv/icon/new/060.png,Poliwag,['water'],"Water Absorb, Damp, Swift Swim","['40', '50', '40', '40', '40', '90']"
60,#0061,/pokedex-sv/icon/new/061.png,Poliwhirl,['water'],"Water Absorb, Damp, Swift Swim","['65', '65', '65', '50', '50', '90']"
61,#0062,/pokedex-sv/icon/new/062.png,Poliwrath,"['water', 'fighting']","Water Absorb, Damp, Swift Swim","['90', '95', '95', '70', '90', '70']"
62,#0063,/pokedex-sv/icon/new/063.png,Abra,['psychic'],"Synchronize, Inner Focus, Magic Guard","['25', '20', '15', '105', '55', '90']"
63,#0064,/pokedex-sv/icon/new/064.png,Kadabra,['psychic'],"Synchronize, Inner Focus, Magic Guard","['40', '35', '30', '120', '70', '105']"
64,#0065,/pokedex-sv/icon/new/065.png,Alakazam,['psychic'],"Synchronize, Inner Focus, Magic Guard","['55', '50', '45', '135', '95', '120']"
65,#0066,/pokedex-sv/icon/new/066.png,Machop,['fighting'],"Guts, No Guard, Steadfast","['70', '80', '50', '35', '35', '35']"
66,#0067,/pokedex-sv/icon/new/067.png,Machoke,['fighting'],"Guts, No Guard, Steadfast","['80', '100', '70', '50', '60', '45']"
67,#0068,/pokedex-sv/icon/new/068.png,Machamp,['fighting'],"Guts, No Guard, Steadfast","['90', '130', '80', '65', '85', '55']"
68,#0069,/pokedex-sv/icon/new/069.png,Bellsprout,"['grass', 'poison']","Chlorophyll, Gluttony","['50', '75', '35', '70', '30', '40']"
69,#0070,/pokedex-sv/icon/new/070.png,Weepinbell,"['grass', 'poison']","Chlorophyll, Gluttony","['65', '90', '50', '85', '45', '55']"
70,#0071,/pokedex-sv/icon/new/071.png,Victreebel,"['grass', 'poison']","Chlorophyll, Gluttony","['80', '105', '65', '100', '70', '70']"
71,#0072,/pokedex-sv/icon/new/072.png,Tentacool,"['water', 'poison']","Clear Body, Liquid Ooze, Rain Dish","['40', '40', '35', '50', '100', '70']"
72,#0073,/pokedex-sv/icon/new/073.png,Tentacruel,"['water', 'poison']","Clear Body, Liquid Ooze, Rain Dish","['80', '70', '65', '80', '120', '100']"
73,#0074,/pokedex-sv/icon/new/074.png,Geodude,"['rock', 'ground']","Rock Head, Sturdy, Sand Veil","['40', '80', '100', '30', '30', '20']"
